part,key,steps,dtype,comment
pboc_basic_info,PA01AI01,PRH:PA01:PA01A:PA01AI01,varchar(255),报告编号
pboc_basic_info,PA01AR01,PRH:PA01:PA01A:PA01AR01,date,报告时间
pboc_basic_info,PA01BQ01,PRH:PA01:PA01B:PA01BQ01,varchar(1022),被查询者姓名
pboc_basic_info,PA01BD01,PRH:PA01:PA01B:PA01BD01,varchar(31),被查询者证件类型
pboc_basic_info,PA01BI01,PRH:PA01:PA01B:PA01BI01,varchar(255),被查询者证件号
pboc_basic_info,PA01BI02,PRH:PA01:PA01B:PA01BI02,varchar(255),查询机构代码
pboc_basic_info,PA01BD02,PRH:PA01:PA01B:PA01BD02,varchar(31),查询原因代码
pboc_basic_info,PA01CH,PRH:PA01:PA01C:PA01CH,text,其他证件信息
pboc_basic_info,PA01DH,PRH:PA01:PA01D:PA01DH,text,防欺诈警示信息
pboc_basic_info,PA01ES01,PRH:PA01:PA01E:PA01ES01,int,异议标注数目
pboc_basic_info,PB01AD01,PIM:PB01:PB01A:PB01AD01,varchar(31),性别
pboc_basic_info,PB01AR01,PIM:PB01:PB01A:PB01AR01,date,出生日期
pboc_basic_info,PB01AD02,PIM:PB01:PB01A:PB01AD02,varchar(31),学历
pboc_basic_info,PB01AD03,PIM:PB01:PB01A:PB01AD03,varchar(31),学位
pboc_basic_info,PB01AD04,PIM:PB01:PB01A:PB01AD04,varchar(31),就业状况
pboc_basic_info,PB01AD05,PIM:PB01:PB01A:PB01AD05,varchar(31),国籍
pboc_basic_info,PB01AQ01,PIM:PB01:PB01A:PB01AQ01,varchar(1022),电子邮箱
pboc_basic_info,PB01AQ02,PIM:PB01:PB01A:PB01AQ02,varchar(1022),通讯地址
pboc_basic_info,PB01AQ03,PIM:PB01:PB01A:PB01AQ03,varchar(1022),户籍地址
pboc_basic_info,PB01BS01,PIM:PB01:PB01B:PB01BS01,int,手机号记录数量
pboc_basic_info,PB020D01,PMM:PB02:PB020D01,varchar(31),婚姻状态
pboc_basic_info,PB020D02,PMM:PB02:PB020D02,varchar(31),配偶证件类型
pboc_basic_info,PB020I01,PMM:PB02:PB020I01,varchar(255),配偶证件号
pboc_basic_info,PB020Q01,PMM:PB02:PB020Q01,varchar(1022),配偶姓名
pboc_basic_info,PB020Q02,PMM:PB02:PB020Q02,varchar(1022),配偶工作单位
pboc_basic_info,PB020Q03,PMM:PB02:PB020Q03,varchar(1022),配偶联系电话
pboc_mobile,PB01BQ01,PB01BQ01,varchar(1022),手机号
pboc_mobile,PB01BR01,PB01BR01,date,信息更新日期
pboc_address,PB030Q01,PB030Q01,varchar(1022),居住地址
pboc_address,PB030Q02,PB030Q02,varchar(1022),住宅电话
pboc_address,PB030D01,PB030D01,varchar(31),居住状况
pboc_address,PB030R01,PB030R01,date,信息更新日期
pboc_company,PB040D01,PB040D01,varchar(31),就业状况
